Date,Sentiment
2016-06-16,0.659
2016-06-17,0.678
2016-06-18,0.805
2016-06-19,0.69
2016-06-20,0.704
2016-06-21,0.732
2016-06-22,0.625
2016-06-23,0.686
2016-06-24,0.68
2016-06-25,0.672
2016-06-26,0.524
2016-06-27,0.571
2016-06-28,0.651
2016-06-29,0.687
2016-06-30,0.653
2016-07-01,0.551
2016-07-02,0.658
2016-07-03,0.705
2016-07-04,0.731
2016-07-05,0.717
2016-07-06,0.761
2016-07-07,0.719
2016-07-08,0.724
2016-07-09,0.651
2016-07-10,0.462
2016-07-11,0.644
2016-07-12,0.644
2016-07-13,0.733
2016-07-14,0.613
2016-07-15,0.587
2016-07-16,0.526
2016-07-17,0.5
2016-07-18,0.664
2016-07-19,0.602
2016-07-20,0.643
2016-07-21,0.654
2016-07-22,0.667
2016-07-23,0.732
2016-07-24,0.631
2016-07-25,0.679
2016-07-26,0.616
2016-07-27,0.738
2016-07-28,0.789
2016-07-29,0.816
2016-07-30,0.702
2016-07-31,0.796
2016-08-01,0.813
2016-08-02,0.708
2016-08-03,0.705
2016-08-04,0.747
2016-08-05,0.641
2016-08-06,0.614
2016-08-07,0.68
2016-08-08,0.645
2016-08-09,0.592
2016-08-10,0.593
2016-08-11,0.643
2016-08-12,0.678
2016-08-13,0.793
2016-08-14,0.685
2016-08-15,0.676
2016-08-16,0.681
2016-08-17,0.63
2016-08-18,1.0
2016-08-19,0.68
2016-08-20,0.621
2016-08-21,0.6
2016-08-22,0.659
2016-08-23,0.618
2016-08-24,0.625
2016-08-25,0.639
2016-08-26,0.632
2016-08-27,0.684
2016-08-28,0.588
2016-08-29,0.6
2016-08-30,0.777
2016-08-31,0.687
2016-09-01,0.641
2016-09-02,0.618
2016-09-03,0.5
2016-09-04,0.605
2016-09-05,0.609
2016-09-06,0.637
2016-09-07,0.707
2016-09-08,0.684
2016-09-09,0.71
2016-09-10,0.614
2016-09-11,0.767
2016-09-12,0.703
2016-09-13,0.667
2016-09-14,0.621
2016-09-15,0.661
2016-09-16,0.662
2016-09-17,0.629
2016-09-18,0.727
2016-09-19,0.733
2016-09-20,0.708
2016-09-21,0.671
